model_nm,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,rpt_dt,sales_through_dt
ESCALADE T1ULF                ,2,4,10,2,9,8,5,6,0,0,0,0,8/20/2023,8/19/2023
EXPRESS VAN 610               ,880,803,992,510,513,683,895,631,0,0,0,0,8/20/2023,8/19/2023
HUM BEV BT1UG                 ,0,0,0,0,0,0,0,0,0,0,0,0,8/20/2023,8/19/2023
LCF DSL-JP I-700N             ,2,0,0,-1,-1,-1,3,-1,0,0,0,0,8/20/2023,8/19/2023
LCF GAS-US I-700N             ,25,39,16,60,49,49,38,4,0,0,0,0,8/20/2023,8/19/2023
LCF 6500XD I-700N             ,5,2,2,9,9,5,4,0,0,0,0,0,8/20/2023,8/19/2023
LYRIQ L233                    ,0,1,0,2,0,0,1,-1,0,0,0,0,8/20/2023,8/19/2023
MALIBU E2SC                   ,133,111,120,91,51,39,23,25,0,0,0,0,8/20/2023,8/19/2023
PICKUP-E BEV BT1FG            ,0,0,0,0,0,0,0,1,0,0,0,0,8/20/2023,8/19/2023
SAVANA VAN 610                ,62,49,78,49,115,156,267,165,0,0,0,0,8/20/2023,8/19/2023
SIERRA T1CGF LD CREW          ,497,479,517,444,379,369,322,205,0,0,0,0,8/20/2023,8/19/2023
SIERRA T1CGH HD CREW          ,339,309,341,309,305,341,246,146,0,0,0,0,8/20/2023,8/19/2023
SIERRA T1EGF LD DBL           ,47,64,105,121,102,167,197,65,0,0,0,0,8/20/2023,8/19/2023
SIERRA T1EGH HD DBL           ,24,47,61,52,97,108,119,72,0,0,0,0,8/20/2023,8/19/2023
SIERRA T1RGF LD REG           ,24,22,26,12,33,50,53,34,0,0,0,0,8/20/2023,8/19/2023
SIERRA T1RGH HD REG           ,32,80,86,84,112,118,127,66,0,0,0,0,8/20/2023,8/19/2023
SILVERADO EV BT1CC            ,0,0,0,0,0,0,0,0,0,0,0,0,8/20/2023,8/19/2023
SILVERADO T1CCF LD CREW       ,1536,1607,1799,1350,1218,1165,1077,548,0,0,0,0,8/20/2023,8/19/2023
